"StudyID","Author_Year","Location","Crop types","Cropping system","Organic fertilizer type","Substitution_ratio(%)","Year","Equal N?","P/K balanced?","Duration(years)","Soil depth(cm)","Indicator","Unit","Mean_E","SD_E","n_E","Mean_C","SD_C","n_C","DataType","Converted?","Notes","Mean_E_std","Mean_C_std","SD_E_std","SD_C_std","Depth_raw_norm","Depth_low_cm","Depth_high_cm","Depth_mid_cm","Soil_layer","Soil_layer_export"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",60,"years_mean","Yes","No",11,"0-20","NO3-N","mg·kg-1",14.65,NA,3,9.39,NA,3,"Mean±SD","No","SD缺失",14.65,9.39,NA,NA,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",100,"years_mean","Yes","No",11,"0-20","NO3-N","mg·kg-1",12.7,NA,3,9.39,NA,3,"Mean±SD","No","SD缺失",12.7,9.39,NA,NA,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",30,"years_mean","Yes","No",11,"0-20","NO3-N","mg·kg-1",4.66,NA,3,9.39,NA,3,"Mean±SD","No","SD缺失",4.66,9.39,NA,NA,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",60,"years_mean","Yes","No",11,"0-20","NO3-N","mg·kg-1",14.39,NA,3,9.39,NA,3,"Mean±SD","No","SD缺失",14.39,9.39,NA,NA,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",30,"years_mean","Yes","No",11,"0-20","NH4-N","mg·kg-1",7.81,NA,3,3.89,NA,3,"Mean±SD","No","SD缺失",7.81,3.89,NA,NA,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",60,"years_mean","Yes","No",11,"0-20","NH4-N","mg·kg-1",2.01,NA,3,3.89,NA,3,"Mean±SD","No","SD缺失",2.01,3.89,NA,NA,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",100,"years_mean","Yes","No",11,"0-20","NH4-N","mg·kg-1",1.54,NA,3,3.89,NA,3,"Mean±SD","No","SD缺失",1.54,3.89,NA,NA,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",30,"years_mean","Yes","No",11,"0-20","NH4-N","mg·kg-1",11.29,NA,3,3.89,NA,3,"Mean±SD","No","SD缺失",11.29,3.89,NA,NA,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",60,"years_mean","Yes","No",11,"0-20","NH4-N","mg·kg-1",4.54,NA,3,3.89,NA,3,"Mean±SD","No","SD缺失",4.54,3.89,NA,NA,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",30,"years_mean","Yes","No",11,"0-20","DOC","mg·kg-1",224.02,17.88,3,204.37,35.09,3,"Mean±SD","No","SD缺失",224.02,204.37,17.88,35.09,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",60,"years_mean","Yes","No",11,"0-20","DOC","mg·kg-1",277.72,16.08,3,204.37,35.09,3,"Mean±SD","No","SD缺失",277.72,204.37,16.08,35.09,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",100,"years_mean","Yes","No",11,"0-20","DOC","mg·kg-1",285.68,23.76,3,204.37,35.09,3,"Mean±SD","No","SD缺失",285.68,204.37,23.76,35.09,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",30,"years_mean","Yes","No",11,"0-20","DOC","mg·kg-1",254.08,15.32,3,204.37,35.09,3,"Mean±SD","No","SD缺失",254.08,204.37,15.32,35.09,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","菜籽饼肥",60,"years_mean","Yes","No",11,"0-20","DOC","mg·kg-1",301.5,16.36,3,204.37,35.09,3,"Mean±SD","No","SD缺失",301.5,204.37,16.36,35.09,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",30,"years_mean","Yes","No",11,"0-20","MBC","mg·kg-1",215.38,62.73,3,217.63,23.54,3,"Mean±SD","No","SD缺失",215.38,217.63,62.73,23.54,"0-20",0,20,10,"0-10","0_10"
1,"李雨欣_2025","湖南岳阳","玉米、油菜","轮作","畜禽粪肥",60,"years_mean","Yes","No",11,"0-20","MBC","mg·kg-1",221.9,4.67,3,217.63,23.54,3,"Mean±SD","No","SD缺失",221.9,217.63,4.67,23.54,"0-20",0,20,10,"0-10","0_10"
